vp,session,trial_type,trial,freq_log,peak_time_log,peak_amplitude_log,peak_time_log_db,peak_amplitude_log_db,peak_time_log_db_bsl,peak_amplitude_log_db_bsl,freq_lin,peak_time_lin,peak_amplitude_lin,peak_time_lin_db,peak_amplitude_lin_db,peak_time_lin_db_bsl,peak_amplitude_lin_db_bsl
1,1,1,4,4,0.372,0.000380374200176448,0.372,-34.198112487793,0.372,-3.13978099822998,4,0.372,0.000380374200176448,0.372,-34.198112487793,0.372,-3.13978099822998
1,1,1,4,4.36203093066103,0.408,0.000319025974022225,0.408,-34.9620513916016,0.408,-2.98526525497437,4.5,0.42,0.000307397189317271,0.42,-35.1235122680664,0.42,-2.68347787857056
1,1,1,4,4.75682846001088,0.428,0.000295166741125286,0.428,-35.2997932434082,0.428,-1.90886759757996,5,0.432,0.000286692724330351,0.432,-35.4263572692871,0.432,-1.083575963974
1,1,1,4,5.18735821860404,0.432,0.000279942934866995,0.432,-35.5298500061035,0.432,-0.445016205310822,5.5,0.432,0.000265786686213687,0.432,-35.7553062438965,0.432,0.558329880237579
1,1,1,4,5.65685424949238,0.432,0.000256918196100742,0.432,-35.9027709960938,0.432,1.0185204744339,6,0.432,0.000233137077884749,0.432,-36.3247909545898,0.432,1.90168738365173
1,1,1,4,6.16884330163176,0.428,0.000219963258132339,0.428,-36.5770797729492,0.428,2.27873063087463,6.5,0.428,0.000190350780030712,0.428,-37.2049522399902,0.428,2.85740399360657
1,1,1,4,6.72717132202972,0.428,0.000168754428159446,0.428,-37.7278060913086,0.428,3.13788557052612,7,0.432,0.00014251250831876,0.432,-38.4617118835449,0.432,3.33865070343018
1,1,1,4,7.33603234563737,0.452,0.000111781053419691,0.452,-39.5166625976562,0.452,3.38482165336609,7.5,0.456,9.97584866126999e-05,0.456,-40.0107040405273,0.456,3.4066596031189
1,1,1,4,8,0.364,6.73015674692579e-05,0.364,-41.7209510803223,0.364,3.17759466171265,8,0.364,6.73015674692579e-05,0.364,-41.7209510803223,0.364,3.17759466171265
1,1,1,5,4,0.456,0.00103614013642073,0.456,-29.908073425293,0.456,8.76254653930664,4,0.456,0.00103614013642073,0.456,-29.908073425293,0.456,8.76254653930664
1,1,1,5,4.36203093066103,0.456,0.00127133738715202,0.456,-28.9999599456787,0.456,9.17166805267334,4.5,0.456,0.00134230696130544,0.456,-28.7572326660156,0.456,9.4240550994873
1,1,1,5,4.75682846001088,0.456,0.00141471612732857,0.456,-28.5193977355957,0.456,9.86755180358887,5,0.456,0.00140011659823358,0.456,-28.5586280822754,0.456,10.1595525741577
1,1,1,5,5.18735821860404,0.456,0.00133757677394897,0.456,-28.7543563842773,0.456,10.2516622543335,5.5,0.456,0.00116200337652117,0.456,-29.3634834289551,0.456,10.0756816864014
1,1,1,5,5.65685424949238,0.456,0.00105474784504622,0.456,-29.7840595245361,0.456,9.81408405303955,6,0.456,0.00081257161218673,0.456,-30.9188804626465,0.456,8.84823226928711
1,1,1,5,6.16884330163176,0.456,0.000700711854733527,0.456,-31.5639781951904,0.456,8.20670509338379,6.5,0.256,0.000579698826186359,0.256,-32.3705368041992,0.256,7.32389879226685
1,1,1,5,6.72717132202972,0.256,0.000537799729499966,0.256,-32.6991539001465,0.256,6.92998266220093,7,0.256,0.000482365547213703,0.256,-33.176399230957,0.256,6.40815258026123
1,1,1,5,7.33603234563737,0.256,0.000412025430705398,0.256,-33.8691902160645,0.256,5.75069713592529,7.5,0.256,0.000378385535441339,0.256,-34.2442092895508,0.256,5.43541431427002
1,1,1,5,8,0.256,0.000283561996184289,0.256,-35.5188064575195,0.256,4.5150933265686,8,0.256,0.000283561996184289,0.256,-35.5188064575195,0.256,4.5150933265686
1,1,1,6,4,0.324,0.000312941323500127,0.324,-35.0454940795898,0.324,5.93820905685425,4,0.324,0.000312941323500127,0.324,-35.0454940795898,0.324,5.93820905685425
1,1,1,6,4.36203093066103,0.256,0.000292906392132863,0.256,-35.3327255249023,0.256,6.73322629928589,4.5,0.256,0.000284834968624637,0.256,-35.4543800354004,0.256,6.8601508140564
1,1,1,6,4.75682846001088,0.256,0.000260081462329254,0.256,-35.8501510620117,0.256,6.66643190383911,5,0.256,0.000230329678743146,0.256,-36.3780479431152,0.256,6.10401058197021
1,1,1,6,5.18735821860404,0.256,0.000206328317290172,0.256,-36.8555030822754,0.256,5.54087162017822,5.5,0.26,0.000168668208061717,0.26,-37.7298851013184,0.26,4.56162261962891
1,1,1,6,5.65685424949238,0.272,0.000152788852574304,0.272,-38.159854888916,0.272,4.13313102722168,6,0.28,0.000130051645101048,0.28,-38.8603858947754,0.28,3.60030388832092
1,1,1,6,6.16884330163176,0.284,0.000122716199257411,0.284,-39.1136932373047,0.284,3.51254320144653,6.5,0.284,0.000114675043732859,0.284,-39.4085884094238,0.284,3.68028783798218
1,1,1,6,6.72717132202972,0.284,0.000112102956336457,0.284,-39.5076713562012,0.284,3.97954607009888,7,0.288,0.000110370892798528,0.288,-39.5786514282227,0.288,4.43376207351685
1,1,1,6,7.33603234563737,0.288,0.000110719935037196,0.288,-39.5648727416992,0.288,5.09255790710449,7.5,0.288,0.000111107874545269,0.288,-39.5491790771484,0.288,5.39577388763428
1,1,1,6,8,0.292,0.000110936191049404,0.292,-39.5566253662109,0.292,6.05709075927734,8,0.292,0.000110936191049404,0.292,-39.5566253662109,0.292,6.05709075927734
1,1,1,7,4,0.456,0.00195107981562614,0.456,-27.0972690582275,0.456,4.67391633987427,4,0.456,0.00195107981562614,0.456,-27.0972690582275,0.456,4.67391633987427
1,1,1,7,4.36203093066103,0.456,0.0012876489199698,0.456,-28.9027004241943,0.456,2.42684006690979,4.5,0.456,0.00108102383092046,0.456,-29.6629829406738,0.456,1.68085181713104
1,1,1,7,4.75682846001088,0.456,0.000768910278566182,0.456,-31.1448631286621,0.456,0.433037012815475,5,0.456,0.000551674456801265,0.456,-32.5914649963379,0.456,-0.596978783607483
1,1,1,7,5.18735821860404,0.456,0.000427027582190931,0.456,-33.710880279541,0.456,-1.29973745346069,5.5,0.456,0.000282035820418969,0.456,-35.5399131774902,0.456,-2.30971050262451
1,1,1,7,5.65685424949238,0.456,0.000231905243708752,0.456,-36.4173965454102,0.456,-2.74111771583557,6,0.456,0.000159476330736652,0.456,-38.1611557006836,0.456,-3.4855215549469
1,1,1,7,6.16884330163176,0.324,0.00011960681877099,0.324,-39.2282104492188,0.324,-4.06865501403809,6.5,0.332,0.000102793943369761,0.332,-39.8971481323242,0.332,-3.83599090576172
